Branch,Talker,Event,Content,Key
0,,ChangeBGM,AsaNoKomorebi,
0,,ChangeBackground,HoshikoRoom,
0,,FadeIn,1,
0,,,다시 정신이 들었을 땐 아직 그리 늦은 시간은 아니였다.,
0,,,침대에서 몸을 일으킨 후 핸드폰을 잡았다.,
0,,,10분 정도 전에 니아가 공원에서 만날 수 있냐는 말을 남겨 놓은게 보였다.,
0,,,하고 싶은 말이라…,
0,,,마지막엔 멀쩡해 보였으니 괜찮지 않을까,
0,,,그런 생각으로 호시코는 다시 나갈 준비를 시작했다.,
0,,ChangeBGM,Park,
0,,ChangeBackground,Riverside,
0,,,호시코는 밖으로 나왔다.,
0,,,이젠 시간이 지나도 공원은 깔끔하게 유지 되고 있는 듯 보였다.,
0,,,그간 했던 활동들이 의미가 없진 않았구나,
0,,,호시코는 약속 장소에 도착하게 되었다.,
0,,,가게 옆 테이블에서 만나자 하지 않았나?,
0,,,잠시 그곳에서 앉아 기다리니 멀리서 누군가 다가오는 것이 보였다.,
0,Var,IfByVarByName,NiaRelationship,
0,>=,,NiaRelationshipCheck2,SanChi
0,,IfEnd,,Pinchi
SanChi,,ChangeBGM,Nia2,
Pinchi,,ChangeBGM,Nia,
0,,ResetKey,,
0,Nia,AddTalker,1,
0,,,니아가 열심히 걸어오고 있었다.,
0,,,다만 한동안 방에서만 지낸 행동에 영향을 받은건지,
0,,,걷는 것이 좀 힘들어 보였다는 점이 달랐다.,
0,1,,늦어서 미안해,
0,호시코,,괜찮아,
0,,,거리상으로 내가 훨씬 가까운걸,
0,,,오히려 조금만 늦게 나왔어도 지각하는건 내쪽이였다.,
0,,,그렇게 생각하니 호시코는 안심이 되었다.,
0,,,원래 저런 아이였지…,
0,호시코,,그런데 직접 만나서 해야할 정도의 이야기인거야?,
0,1,,음… 응 난 그렇게 생각해,
0,,,사뭇 진지한 분위기에 호시코도 집중하기로 했다.,
0,1,,저번에 린과 했던 말 생각 나?,
0,,,학원내 폭력을 해결 하기 위해 한다고 했던 일,
0,,,그렇다는건 지금 니아가 하는 이야기는…,
0,호시코,,괴롭힘을 해결해보자 그런거지?,
0,,,린이 해준 일 덕분에 타케시가 나타나진 않았다지만#아직 일이 해결된 건 아니엿다.,
0,,,마침 이런 저런 증거를 모아 두기도 했고#니아의 이야기로 폭력이 화두에 오른 상황이기도 했다.,
0,,,확실히 지금이라면 해결 할 수 있는게 많겠다만은…,
0,호시코,,이번 건은 감도 안오는걸,
0,,,선생님에게 말을 해본적이 있었다.,
0,,,그때는 타케시와 둘이 마주보며 한시간 가량의 이야기 할 수 밖에 없었다.,
0,,,그렇다는건 경찰서 쪽에 직접 넘기는건데…,
0,,,근처에 파출소가 있다는건 기억 하고 있다.,
0,호시코,,사람들을 모아서 파출소로 보내서 신고를 하게한다…,
0,,,그렇다해서 바뀌는게 있나?,
0,,,상황이 비관적으로 보이는건 어쩔 수가 없었다.,
0,1,,이제 거기서 물질적인 증거를 가지고 가는거지,
0,,,마리에게 보내진 문자 같은거?,
0,,,가능성은 보이긴 하지만 너무 희미했다.,
0,,,그래도 안하는 것 보단 났겠지,
0,호시코,,그럼 괴롬힘을 당한 아이들은 어떻게 찾아?,
0,,,학원 안을 한곳 한곳 돌아다니며 사람을 찾는다?,
0,,,이건 말이 안되는 소리였다.,
0,,,그렇다면 남는건…,
